T_TRADE_PRICE,T_COMM
25.18,48.35
23.34,8.40
23.26,44.66
24.60,31.49
26.26,9.45
24.89,55.75
23.14,8.33
24.02,38.43
20.45,14.72
26.73,19.25
24.77,39.63
27.75,71.04
20.51,39.38
24.84,21.86
21.46,7.73
24.38,8.78
27.57,44.11
26.89,19.36
27.72,9.98
27.00,10.80
26.40,11.62
29.69,47.50
20.54,23.00
28.12,53.99
20.97,26.84
29.56,75.67
27.69,22.15
23.42,14.99
21.11,60.80
27.69,12.18
24.95,8.98
23.32,44.77
27.40,30.69
27.68,12.18
20.57,23.04
24.06,26.95
28.92,10.41
22.88,7.32
24.09,53.96
21.51,13.77
21.53,7.75
26.41,8.45
23.83,26.69
21.25,47.60
25.28,28.31
21.23,15.29
24.67,19.74
21.05,15.16
26.52,9.55
23.53,52.71
20.98,53.71
28.63,64.13
24.02,61.49
23.02,29.47
28.07,62.88
27.91,10.05
28.07,10.11
27.59,17.66
23.46,8.45
21.77,9.58
22.52,9.01
29.45,37.70
22.05,14.11
23.72,10.44
23.23,59.47
27.36,19.70
25.00,20.00
21.57,17.26
20.92,26.78
27.17,17.39
26.55,59.47
28.25,9.04
23.76,53.22
21.64,7.79
29.40,47.04
26.18,75.40
22.61,16.28
27.31,52.44
23.26,52.10
25.46,18.33
27.47,35.16
22.30,16.06
23.43,8.43
24.65,27.61
22.96,9.18
26.57,19.13
29.77,66.68
23.33,26.13
22.38,16.11
21.81,69.79
25.32,56.72
20.64,26.42
26.85,17.18
23.52,16.93
22.20,49.73
21.57,7.77
24.04,8.65
26.86,8.60
25.52,22.46
22.14,28.34
21.48,7.73
21.29,27.25
29.25,56.16
23.99,10.56
23.89,30.58
27.68,17.72
26.25,9.45
26.96,11.86
20.98,7.55
28.30,45.28
29.18,21.01
24.07,69.32
20.69,46.35
25.61,40.98
22.72,32.72
29.00,11.60
22.10,35.36
28.48,36.45
22.33,8.04
22.91,16.50
25.09,28.10
29.36,42.28
29.38,37.61
27.11,9.76
26.46,21.17
21.24,9.35
25.04,28.04
28.73,41.37
20.52,7.39
20.96,15.09
24.40,15.62
28.44,10.24
20.78,46.55
23.26,14.89
26.04,8.33
27.56,30.87
24.82,47.65
21.94,17.55
22.59,9.94
21.63,48.45
21.45,6.86
29.71,11.88
21.37,41.03
29.08,12.80
23.77,17.11
20.99,15.11
24.79,10.91
20.70,14.90
24.08,23.12
20.12,6.44
28.21,49.65
25.36,16.23
28.70,36.74
20.81,18.31
29.95,86.26
25.34,56.76
21.67,6.93
21.41,20.55
26.15,18.83
25.56,10.22
23.22,16.72
29.78,38.12
22.40,43.01
23.47,37.55
29.36,65.77
25.08,18.06
20.16,8.87
24.35,54.54
26.11,29.24
23.75,20.90
25.26,9.09
24.20,54.21
25.89,24.85
20.43,13.08
24.91,21.92
29.99,19.19
24.80,55.55
29.24,21.05
25.65,11.29
23.49,15.03
27.74,12.21
28.34,31.74
22.86,7.32
25.20,28.22
22.68,9.07
20.44,39.24
21.40,61.63
25.43,18.31
24.72,39.55
24.75,31.68
27.67,30.99
20.36,17.92
25.85,74.45
20.95,26.82
27.25,61.04
21.84,6.99
21.09,13.50
23.43,9.37
23.50,7.52
23.30,29.82
27.88,62.45
27.94,49.17
25.68,16.44
25.98,18.71
27.35,30.63
27.72,70.96
29.12,10.48
28.69,64.27
20.71,14.91
20.08,14.46
22.59,43.37
21.31,15.34
23.40,33.70
28.27,81.42
28.58,10.29
29.35,21.13
20.85,18.35
20.51,22.97
26.85,30.07
22.01,28.17
27.70,22.16
20.84,40.01
26.32,29.48
21.65,15.59
22.16,42.55
20.90,53.50
28.20,11.28
29.23,21.05
29.85,10.75
21.40,41.09
25.63,57.41
20.29,45.45
22.84,36.54
25.35,64.90
22.73,8.18
26.29,33.65
27.17,9.78
20.33,8.13
22.78,7.29
26.97,19.42
26.48,38.13
21.23,6.79
22.20,49.73
20.28,7.30
25.16,16.10
24.35,9.74
26.05,58.35
23.26,16.75
20.05,28.87
24.71,39.54
21.38,54.73
26.24,50.38
27.05,9.74
21.32,54.58
27.70,9.97
26.03,9.37
21.58,7.77
27.55,61.71
27.16,9.78
23.20,18.56
23.91,30.60
21.38,47.89
21.31,47.73
24.75,9.90
28.47,10.25
22.80,14.59
22.78,14.58
23.72,8.54
22.26,7.12
20.63,19.80
27.81,44.50
29.73,11.89
25.75,11.33
28.56,41.13
24.20,69.70
22.88,51.25
24.14,54.07
29.72,23.78
24.18,27.08
29.67,42.72
23.17,8.34
26.21,37.74
24.72,39.55
21.37,61.55
28.32,9.06
25.21,18.15
20.53,29.56
29.28,12.88
20.60,29.66
20.56,23.03
29.84,19.10
21.91,35.06
29.72,10.70
23.91,19.13
27.18,60.88
21.31,7.67
24.45,39.12
22.49,50.38
21.46,17.17
28.95,64.85
21.61,41.49
28.51,10.26
26.25,33.60
20.93,16.74
25.56,57.25
29.35,75.14
21.80,48.83
24.31,8.75
22.50,10.80
26.96,86.27
21.90,24.53
27.10,19.51
25.92,66.36
26.51,8.48
21.85,48.94
22.54,50.49
27.50,11.00
20.30,7.31
29.95,26.36
20.18,7.26
29.94,57.48
22.82,43.81
29.52,21.25
29.31,56.28
25.41,18.30
20.76,7.47
24.20,69.70
24.88,31.85
25.15,32.19
20.92,40.17
24.46,31.31
21.45,15.44
28.40,45.44
25.54,28.60
29.11,18.63
25.06,56.13
22.40,57.34
