T_TRADE_PRICE,T_COMM
26.11,8.36
29.42,12.94
27.37,9.85
26.18,16.76
20.98,18.46
21.93,15.79
29.04,23.23
24.61,8.86
27.39,9.86
28.79,36.85
24.35,17.53
27.51,61.62
26.45,33.86
29.53,51.97
27.47,9.89
21.11,27.02
21.09,18.56
22.07,7.95
22.60,9.94
24.19,54.19
20.21,22.64
26.40,9.50
23.70,30.34
25.98,18.71
21.35,27.33
24.23,31.01
26.44,50.76
24.87,8.95
23.23,37.17
26.16,50.23
22.36,14.31
22.88,25.63
20.62,14.85
25.71,10.28
23.76,7.60
24.92,15.95
24.10,8.68
20.57,16.46
20.37,39.11
25.71,11.31
21.55,48.27
25.26,48.50
29.15,65.30
20.00,44.80
25.11,16.07
20.26,25.93
24.65,31.55
27.43,43.89
24.15,54.10
27.01,60.50
27.01,60.50
22.48,50.36
22.89,32.96
26.98,17.27
26.51,33.93
25.47,18.34
28.27,36.19
24.29,8.74
20.98,8.39
27.00,60.48
26.05,37.51
24.95,9.98
20.42,58.81
22.81,29.20
25.17,48.33
24.75,9.90
23.24,52.06
28.15,22.52
20.58,6.59
24.59,17.70
27.49,52.78
27.72,22.18
22.43,14.36
22.43,57.42
25.10,22.09
22.15,8.86
27.29,39.30
26.72,34.20
28.18,18.04
24.96,55.91
20.28,45.43
24.07,17.33
27.03,30.27
23.63,8.51
20.87,60.11
29.61,23.69
24.52,17.65
22.67,14.51
26.37,42.19
26.35,10.54
22.24,64.05
21.69,48.59
21.31,7.67
26.68,9.60
22.76,16.39
28.77,36.83
25.17,18.12
27.58,9.93
25.99,20.79
23.18,29.67
27.02,30.26
20.21,25.87
23.19,7.42
27.91,22.33
22.53,50.47
22.08,28.26
27.27,17.45
20.61,46.17
27.80,31.14
29.92,21.54
24.71,63.26
28.36,36.30
27.68,12.18
26.14,11.50
27.39,35.06
28.52,41.07
27.18,19.57
21.61,8.64
25.85,57.90
20.37,6.52
25.08,12.04
20.39,17.94
29.23,37.41
23.55,30.14
22.50,21.60
24.84,15.90
23.78,17.12
22.33,35.73
21.72,48.65
21.95,49.17
28.38,63.57
28.33,18.13
29.16,32.66
20.07,25.69
20.50,39.36
23.86,30.54
27.43,61.44
22.30,14.27
28.62,64.11
25.66,45.16
27.08,34.66
20.76,7.47
27.54,19.83
20.55,9.04
22.18,7.98
21.99,15.83
29.27,37.47
28.38,36.33
20.05,7.22
20.95,60.34
23.46,7.51
23.46,30.03
29.30,65.63
27.35,19.69
23.24,14.87
22.50,18.00
25.40,10.16
29.85,66.86
21.33,6.83
26.76,19.27
27.52,44.03
24.80,55.55
23.47,45.06
29.92,43.08
21.30,15.34
23.37,33.65
24.80,17.86
29.80,9.54
23.58,52.82
26.09,18.78
22.85,8.23
29.54,13.00
20.53,52.56
21.13,9.30
22.66,8.16
28.88,46.21
22.59,16.26
28.96,74.14
21.81,41.88
26.63,59.65
25.38,18.27
20.70,66.24
23.01,8.28
21.32,6.82
20.20,8.89
20.59,7.41
22.12,28.31
23.92,34.44
23.59,26.42
28.36,10.21
24.58,17.70
20.10,22.51
23.32,67.16
27.03,10.81
29.31,56.28
20.81,14.98
27.49,17.59
26.81,19.30
20.80,39.94
26.51,59.38
23.20,20.42
28.00,40.32
27.95,20.12
26.79,11.79
