ss_list_price,ss_wholesale_cost
93.35,53.04
60.84,41.96
98.32,56.51
107.48,65.54
57.20,34.05
100.82,73.06
67.35,56.60
128.31,74.60
74.95,68.14
13.61,8.56
11.09,6.34
52.99,37.32
63.57,51.27
81.48,62.68
51.06,40.53
92.14,76.15
46.09,29.36
82.40,45.28
114.29,99.39
59.07,43.44
38.62,33.01
124.66,84.23
78.28,50.18
4.65,3.88
156.80,94.46
41.22,31.96
45.80,32.03
36.76,18.66
48.61,41.91
44.28,24.33
141.33,74.78
47.82,35.69
91.01,62.77
101.80,74.31
94.13,64.04
83.55,69.05
8.41,4.98
21.35,13.87
36.31,19.63
84.49,48.01
99.64,69.20
52.58,38.38
119.61,94.93
110.64,96.21
106.82,84.78
84.96,57.41
54.76,44.89
5.19,2.61
132.85,82.01
20.02,16.97
158.59,84.81
12.95,7.12
133.32,66.66
60.77,33.58
72.17,45.11
83.21,53.69
159.57,80.19
38.32,29.71
71.64,62.30
28.47,25.20
10.23,5.50
136.14,96.56
46.34,31.96
25.15,23.73
72.65,42.74
126.55,86.09
101.59,69.11
30.37,19.47
66.46,34.44
65.07,34.43
108.70,68.80
95.44,52.44
126.20,63.10
111.68,93.07
20.37,19.04
85.48,45.23
138.47,71.75
122.19,93.28
16.25,16.09
10.51,5.31
1.72,1.37
167.42,99.07
11.36,7.19
59.14,43.17
16.21,8.49
100.33,63.91
18.11,9.90
85.33,78.29
102.31,85.98
71.95,54.93
54.90,44.28
92.60,59.36
1.13,1.11
5.54,3.38
86.80,68.35
8.55,7.19
97.47,96.51
108.89,80.07
5.71,3.64
101.70,57.14
98.39,50.20
3.35,1.94
41.26,21.95
51.48,42.55
56.27,42.31
10.40,10.20
67.61,54.97
9.66,7.11
65.55,36.83
98.38,91.10
10.96,7.83
9.23,7.57
139.34,87.09
127.41,64.68
28.70,15.60
148.86,76.34
3.90,2.38
167.30,85.36
55.30,53.18
94.73,85.35
129.56,88.74
111.16,92.64
91.45,89.66
88.39,81.85
62.63,37.28
102.13,82.37
30.17,29.58
61.66,33.33
64.17,56.79
53.11,52.07
135.72,68.55
78.01,42.63
93.26,50.14
50.82,43.07
2.58,2.39
73.78,67.08
71.66,37.92
36.76,31.69
98.50,56.94
26.50,17.67
14.72,14.72
13.76,11.01
139.38,97.47
97.25,65.71
5.87,3.34
34.91,33.25
54.19,49.27
102.70,67.13
92.00,46.94
161.36,92.74
106.46,69.13
33.90,19.05
14.29,12.65
51.95,40.91
141.39,78.55
76.39,53.42
79.37,49.61
77.10,55.87
103.31,56.15
74.93,38.23
56.49,29.27
178.03,98.91
81.95,70.05
68.31,42.43
91.20,70.70
83.12,46.44
140.40,86.67
54.66,50.62
90.78,82.53
42.31,23.64
155.05,84.73
103.35,62.64
127.61,72.92
131.21,84.11
104.13,86.06
84.98,42.49
4.87,2.82
85.88,42.94
127.41,86.09
8.54,8.54
53.36,37.58
67.79,52.15
39.23,30.65
106.66,79.01
70.79,36.12
50.33,36.21
123.63,79.25
56.57,28.43
128.00,65.31
70.22,48.10
104.14,64.29
7.35,3.85
52.53,31.84
10.02,5.76
123.26,69.25
126.53,66.25
106.23,90.03
63.37,42.82
137.14,97.96
7.55,6.40
109.66,91.39
57.73,44.41
22.29,13.27
51.52,33.46
10.33,10.23
43.78,29.99
148.96,80.96
80.42,57.86
64.67,62.19
45.33,25.76
24.10,13.17
27.08,15.39
147.07,75.81
151.38,88.53
110.57,65.82
12.58,7.72
161.83,90.41
32.55,31.61
4.95,4.76
76.83,71.81
74.97,57.67
44.69,34.65
28.00,16.57
11.11,9.42
57.76,35.44
120.09,81.70
3.44,3.28
17.26,10.53
42.28,33.83
56.70,54.52
60.34,54.86
146.18,73.46
54.75,53.16
189.01,97.43
164.03,97.64
58.84,58.84
63.97,33.67
106.92,72.74
87.99,75.86
41.71,25.13
178.75,94.08
92.57,67.08
27.67,21.45
99.49,82.91
91.29,87.78
58.04,40.59
19.01,10.68
83.64,46.99
148.83,77.52
56.13,56.13
92.27,65.91
46.06,25.17
91.27,71.87
18.73,16.01
6.54,3.32
23.93,12.34
132.77,67.74
3.12,1.70
71.40,54.93
8.75,6.12
14.63,7.70
15.48,13.70
71.89,57.06
74.35,44.26
120.73,69.39
81.54,69.70
86.50,73.94
73.45,56.94
19.48,13.08
50.56,46.39
42.74,28.12
130.81,75.18
64.67,46.53
49.45,45.37
109.98,62.49
73.56,70.06
149.22,85.27
70.72,37.82
116.58,70.66
73.80,41.23
100.37,56.71
19.53,12.44
143.81,72.27
73.66,41.62
117.90,98.25
119.56,79.18
60.62,55.62
129.94,65.30
50.27,41.55
71.60,59.18
113.65,67.25
112.36,71.57
109.55,92.84
16.21,14.61
68.88,42.00
106.89,81.60
119.47,70.28
12.53,8.47
83.02,76.17
44.45,31.75
119.23,73.60
72.88,71.46
88.05,70.44
77.50,43.06
10.60,8.99
149.18,95.02
44.94,34.57
125.26,81.34
62.95,38.86
102.32,78.11
52.00,42.98
6.56,5.25
99.94,72.95
56.73,28.80
78.54,46.20
46.49,28.88
77.41,44.49
95.99,90.56
145.43,97.61
100.80,91.64
38.88,25.09
144.66,73.81
41.53,34.61
87.81,77.71
48.09,28.46
75.42,47.74
63.16,36.51
102.21,55.25
104.60,66.63
69.86,53.74
47.10,44.02
64.09,39.32
60.79,51.52
69.05,50.04
51.85,38.13
120.91,61.38
9.26,7.35
36.30,19.01
76.60,51.76
81.86,66.02
110.87,71.53
73.46,58.77
47.20,29.50
64.46,39.55
117.94,81.34
57.97,31.00
12.43,7.19
40.02,32.28
95.48,80.92
138.25,85.34
50.70,25.48
87.67,70.14
39.53,23.53
148.10,91.42
102.17,54.64
156.26,87.30
130.98,94.92
132.54,70.88
115.01,75.67
23.12,19.43
96.30,92.60
145.70,73.22
35.43,30.29
133.16,71.21
62.84,37.63
25.59,19.10
9.78,8.09
24.69,13.72
36.30,29.52
133.09,72.73
12.79,11.13
57.25,33.48
93.29,60.19
97.90,50.99
66.40,47.43
50.08,29.81
8.96,7.47
28.30,25.97
132.08,78.62
77.81,39.70
98.53,91.24
91.88,56.37
73.97,61.14
118.62,71.46
79.94,62.95
79.48,72.92
105.59,57.39
6.64,4.71
120.75,68.61
14.22,12.93
148.83,89.12
51.71,44.97
95.95,51.87
124.72,95.94
127.28,82.65
101.27,54.16
109.15,59.65
81.87,54.22
73.38,43.17
24.26,12.77
118.53,76.97
86.95,51.76
2.56,1.70
150.71,85.15
97.71,59.95
127.44,86.70
150.97,84.82
47.73,24.23
36.90,24.28
106.03,66.27
104.93,53.54
35.87,23.76
22.68,18.90
37.22,21.64
105.30,94.87
40.12,36.48
5.15,3.51
47.09,35.68
106.70,80.23
41.19,40.79
5.80,3.65
47.22,43.73
49.77,31.91
28.17,20.72
172.15,92.06
60.38,35.52
160.45,84.01
18.69,18.51
63.41,63.41
58.48,29.39
81.11,42.03
4.50,2.49
29.97,29.97
12.04,9.79
7.69,4.72
49.73,47.82
91.43,58.24
75.51,64.54
106.45,91.77
118.28,65.35
26.10,15.92
88.87,65.83
18.39,18.03
112.83,85.48
2.00,2.00
22.46,13.14
71.63,43.95
95.97,74.98
33.82,24.16
91.33,62.99
69.52,53.48
101.70,56.82
19.00,15.08
28.08,14.33
96.45,48.96
111.22,77.78
61.83,36.16
60.22,57.36
115.58,63.86
55.13,30.63
39.64,21.09
74.22,46.68
43.42,36.80
5.62,3.63
158.69,93.35
42.48,29.50
121.98,72.18
59.83,43.05
52.75,27.62
133.20,70.11
93.18,62.12
20.87,20.27
97.96,55.98
79.41,67.88
97.78,62.68
19.26,12.84
65.17,34.30
8.83,6.09
188.53,99.23
52.02,27.97
106.74,70.69
48.92,41.11
90.55,90.55
26.18,18.06
56.94,44.49
12.83,8.50
77.84,51.55
2.75,2.15
116.22,88.72
75.56,55.56
83.71,82.89
80.41,43.00
158.93,83.65
32.02,22.55
152.92,99.30
42.96,23.87
171.07,99.46
112.78,64.82
80.62,53.04
74.88,46.80
46.13,40.83
6.59,6.53
16.56,10.62
63.80,43.70
100.36,71.18
54.27,48.90
127.75,84.05
82.99,58.04
5.61,3.30
82.15,56.66
144.49,97.63
107.62,91.99
45.93,31.90
71.98,39.55
73.40,52.81
155.28,81.30
55.59,48.77
119.40,82.35
7.19,6.85
12.18,7.34
97.45,79.88
110.89,63.37
75.05,73.58
5.31,3.54
95.14,69.45
190.82,95.41
27.92,14.32
4.13,3.69
128.86,87.66
44.66,33.33
45.63,29.83
111.89,86.07
57.18,34.24
91.23,58.86
2.62,1.36
174.32,94.23
89.15,72.48
42.58,26.78
113.28,59.00
85.05,54.52
69.77,61.21
47.64,36.37
89.08,74.24
110.56,82.51
116.15,71.70
65.49,51.57
27.12,22.60
2.56,1.31
94.01,56.98
71.13,49.06
91.15,70.66
7.24,5.66
108.76,92.96
105.12,86.17
61.35,50.29
55.71,37.90
14.73,12.28
38.58,31.12
79.25,62.90
36.20,18.47
63.93,62.68
36.50,28.30
119.66,67.61
18.82,16.81
130.84,98.38
66.38,53.97
99.59,93.96
107.45,71.16
50.10,39.45
101.01,51.54
119.44,61.57
15.65,11.95
72.89,38.57
14.50,11.42
127.64,97.44
22.98,12.36
58.70,31.06
161.64,87.85
84.81,77.81
88.13,62.95
157.68,94.99
19.65,11.56
52.65,31.91
52.03,36.39
159.95,87.89
13.46,11.81
54.57,51.49
132.28,93.16
36.04,29.79
2.35,2.33
125.13,78.21
95.39,76.93
75.53,57.66
145.99,78.49
120.80,71.91
131.55,91.36
52.29,41.50
2.33,1.34
156.28,89.82
174.75,90.08
40.77,29.76
93.28,77.74
115.92,77.28
116.10,62.09
81.13,43.62
48.22,30.52
5.54,5.44
62.67,61.45
127.48,86.14
80.77,42.07
86.57,52.79
36.17,33.19
70.48,41.46
46.19,40.17
111.81,77.65
29.15,27.50
96.52,81.80
3.86,2.37
155.53,97.21
75.62,43.97
78.98,54.85
111.78,90.88
10.99,7.48
43.87,34.28
53.81,49.83
72.63,49.08
164.72,88.09
62.17,52.25
114.90,67.59
44.12,27.58
86.52,60.93
88.26,54.15
71.85,57.95
38.32,25.72
86.22,62.48
147.18,81.77
24.85,13.58
88.85,71.66
5.83,4.32
77.65,63.65
89.91,56.55
149.60,91.22
171.19,95.11
131.26,93.76
44.51,32.49
89.28,48.79
12.51,7.63
97.64,70.76
11.10,10.68
7.32,5.05
129.09,79.69
64.94,44.48
53.18,29.88
104.90,84.60
76.64,58.96
73.73,44.42
50.64,29.97
8.90,6.02
146.43,74.33
172.75,92.88
62.78,32.53
92.34,73.29
98.07,95.22
24.93,13.70
72.85,65.05
107.17,87.85
15.04,12.33
31.50,28.90
118.20,96.10
66.19,63.65
42.57,25.34
111.58,68.46
28.38,15.18
61.95,58.45
70.25,54.46
151.74,82.92
173.00,96.65
68.56,52.74
137.77,95.68
59.00,36.65
27.86,25.10
70.90,60.60
124.00,63.59
25.20,19.69
41.17,39.98
131.99,94.28
6.96,5.90
8.36,7.82
96.78,79.99
37.74,25.50
84.40,77.44
77.68,47.37
75.27,45.90
49.76,37.14
117.20,58.60
82.14,76.77
90.50,48.40
104.79,62.75
120.54,89.96
92.17,48.26
31.27,30.66
100.14,80.76
39.46,26.31
139.50,93.63
93.42,47.91
25.35,17.61
117.49,97.91
26.62,25.36
160.02,89.40
115.54,66.79
41.99,39.25
91.17,52.40
112.78,90.23
93.79,54.85
125.17,86.93
106.90,76.91
132.69,81.91
48.34,48.34
161.38,91.18
8.12,4.44
117.97,62.42
55.29,44.59
119.73,62.04
86.52,68.13
39.47,34.03
58.00,41.43
39.08,20.90
99.20,63.59
4.26,2.90
163.25,84.15
55.89,48.60
126.23,77.92
154.97,78.27
49.13,34.85
107.51,62.51
8.39,7.85
182.08,99.50
59.80,53.40
158.20,97.66
61.08,57.09
66.88,45.50
74.60,46.63
98.43,56.25
19.79,15.71
18.73,11.93
102.53,70.23
90.69,86.38
139.03,96.55
164.22,93.31
54.43,53.37
63.80,61.35
123.71,72.35
135.55,77.46
61.66,47.80
32.91,22.09
11.64,8.03
44.22,42.94
88.59,82.03
39.74,20.70
136.36,88.55
151.39,87.51
127.00,66.15
52.31,42.88
96.35,62.57
20.06,18.24
80.23,40.32
67.85,61.69
25.95,18.81
48.31,33.32
72.36,43.33
139.00,91.45
38.55,23.95
19.87,11.76
37.57,36.48
47.22,30.27
64.29,55.91
100.51,98.54
61.90,40.20
77.63,39.41
25.22,14.84
122.14,74.48
180.94,96.76
36.03,23.71
67.08,45.33
34.56,31.71
145.88,96.61
147.25,95.62
68.92,37.87
90.57,51.17
40.95,28.05
54.54,38.96
89.64,83.78
125.86,86.80
47.72,38.80
32.36,25.69
35.26,33.27
110.76,62.23
105.71,81.32
34.86,28.81
8.21,4.92
28.36,19.70
8.69,6.08
100.46,89.70
42.23,35.49
16.87,9.12
141.35,85.67
73.66,62.43
86.08,58.96
118.08,96.79
100.21,56.62
77.79,74.09
29.44,17.74
109.56,63.70
84.18,83.35
71.18,62.44
74.39,54.70
105.89,81.46
52.30,51.28
61.24,38.76
21.65,11.34
11.55,11.11
6.38,3.87
141.18,71.67
71.36,37.17
30.69,26.46
41.38,37.62
42.48,42.48
118.74,80.23
52.24,27.94
41.04,23.32
115.85,89.12
94.71,57.40
27.36,15.20
47.63,25.07
11.23,7.64
4.96,4.92
59.63,36.81
58.45,57.88
